,,,,,,,ENGINEERING CUTOFF RANK OF CET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,
1,E001,University of Visvesvaraya College of Engineering,,,,,,Bangalore,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,7418,--,--,6685,--,10689,8120,38720,--,5128,--,6802,4822,--,--,4202,10372,6261,19929,--,22965 12296,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,66271,--,66811 68461 71770 77151 76027,,,,--,130565 56151,,--,62276 58789,,--,66309 46143 57164 54344 71349 82281 76048 61725,,,,,,,,--,--,
CS Computers,,2910,--,--,3181,--,5152,3894,--,--,2137,9604,--,2262,--,--,1969,3799,2668,9515,--,14016,7407,--,11150
EC Electronics,,7832,--,13558 10560 13617 11587 11675,,,,--,26769,8420,--,9252,7112,13400,9973,6666,12431,9232,26317 29003 34685 17016,,,,--,--,
EE Electrical,,28948,--,--,21923 29444 27371 22746,,,--,--,16624,--,--,22470,--,25195 15937 23575 22057 45856 50666 56019 32172,,,,,,,,--,--,
IE Info.Science,,6287,8114,--,3987,--,5155,5209,--,--,3398,--,--,3717,--,--,3103,4637,4483,15798,--,17823,7598,--,12377
ME Mechanical,,78859,--,89850 69663 75601 81389 76860,,,,--,161666 58893,,--,77421 64539 68322 71403 57138 63104 68400 102814122332110523 83659 105268107391,,,,,,,,,,,,,
2,E002,S K S J T Institute of Engineering.,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,81892,--,--,88387 100907 95510 96918,,,--,--,84424,--,89258 82975 96476,,,--,79785 80487 87399 90983,,,,--,101415 90089,,--,--,
CS Computers,,17335,--,--,15008 17829 15963 15744,,,--,--,12403,--,--,11833,--,14919 10946 14416 13977 26066,,,,,--,31075 15320 21933,,,--,
EC Electronics,,32658,--,33229 25630,--,30415 35768,,--,--,25125,--,--,26358,--,26627 23106 25969 26144 42599 48415 45338 28048,,,,,,,,--,--,
ST Silk Tech.,,72249,--,--,96761,--,--,--,--,--,--,--,--,85271,--,--,67508 110577 75276 101051,,,--,147805103452,,--,--,
TX Textiles,,138892,--,--,130102,--,167453117871,--,167009106758,,--,--,114030,--,--,106675118206133362139559141029163352155896,,,,,,,--,167804,
3,E003,B M S College of Engineering,,"Basavanagudi,Bangalore",,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,65883,--,--,63517,--,72909 52947,--,--,53965,--,69089 52403,,--,74864 45354 57634 61946 65113 83392 68135 48664,,,,,,,,--,--,
EC Electronics,,3409,--,6045,4754,13893,5553,9603,--,--,1900,--,--,2181,--,--,1898,11266,4872,15698,--,18076 17308,--,--,
EE Electrical,,16850 48296,--,18628,--,19055 23946,,--,74842 10702,,--,--,12134 25181,,--,10376 22617 17256 31593,,,,--,38951 24436,,--,42229,
IM Ind. Engg.,,61828,--,--,63459 94100 101440 66090,,,--,--,46618,--,--,45533,--,76130 43625 59192 73550 108052,,,,,--,160624 91541,,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,34574,--,--,54329,--,70297 48784,--,114359 32620,,--,--,41460,--,--,28283 59757 60534 86984 91304 120773 78083,,,,,,,--,--,
4,E004,Dr. Ambedkar Institute Of Technology,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,100710,--,--,111176,--,115380 94195 144892,,--,92601,--,--,96896,--,111196 89354 99159 103097106446115269126702108119,,,,,,,,--,113703,
CS Computers,,10108,--,--,10500 14085 10834 13847,,,--,23254,8007,--,--,7816,--,--,7278,12349 10029 18322,,,--,23388 11438,,--,--,
EC Electronics,,24131 28633 25830 22544 23233 26907 22908,,,,,,--,43857 18770,,--,22105 19155,,--,21004 17921 20781 20959 44966 49673 55669 24818,,,,,,,,--,--,
EE Electrical,,41613,--,--,40960,--,41449 55347,--,--,40030,--,46480 37938,,--,41713 36725 40759 40001 61091 91749 80671 44192,,,,,,,,--,--,
EI Elec. Inst.,,88786,--,--,64093,--,68277 80097,--,--,55025 115736,,--,60073 76033,,--,53334 56248 67238 103863,,,,--,133077 85201,,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,57110,--,88291 54330 71037 60381 77130,,,,--,--,47324,--,--,45559,--,--,42943 43684 51114 109119,,,,--,112198 66758,,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
IM Ind. Engg.,,85948,--,--,78035,--,123109108494,--,--,68410,--,--,75387,--,--,68060 91916 76873 128123,,,,--,155976105661,,--,--,
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,121484,--,139896108797119590121702113326,,,,--,120218102106,,--,125576102334,,--,116275 94026 105585114795130376155616136199130325161927,,,,,,,,,--,
