,,,,,,,,,KARNATAKA EXAMINATIONS AUTHORITY,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Non-Interactive Admission System - 2025-26,,,,,,,,,,,,,,,,,,
,,,,,,,,UGCET-2025 THIRD ROUND CUT-OFF RANKS FOR Engineering,,,,,,,,,,,,,,,,,,,,
Seat Type: Rest Of karnataka Cut-Off Ranks,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College: E001 Univesity of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle, Bangalore",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMP,GMR,NRI,OPN,OTH,SCG,SCK,SCR,STG,STK,STR
ARTIFICIAL,11952,--,--,8509,--,10643.5,11781,--,--,7822,--,--,8626,--,--,7213,9379,--,7630,--,--,--,26425,41199,35574,30994,--,32560
INTELLIGENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIVIL,99946,--,--,82890,94879,89432,83486,--,--,63732,--,--,76223,80213,76685.5,55203,72059,--,69924,--,--,--,107260,119593,139264,113946,--,127611
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER,7462,9347,12411,7750,9881,8266,10476,--,--,6904,--,7336,6263,--,6502,5020,7871,--,6170,--,--,--,26682,39060,34919,19055,--,21381
SCIENCE AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL &,32302,--,37183,29347.5,31445,34396.5,35391,--,--,26850,55047,32129,32492,--,32812,22495,29635,--,27832,--,--,--,57559,58072,78661,89143,--,106106
ELECTRONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONICS,15750,--,--,12714,16310,17117,17880,--,22894,10841,--,11227,10758,--,13615,9544,14716,--,11203,--,--,--,38788,44546,50780,43494,120089,45642
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNICATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N ENGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMATION,8593,--,--,9710,--,16270,13090,40080,29221,8159,--,--,8839,--,--,7713,10867,--,8344,--,--,--,33279,--,42844,31963,--,44478
SCIENCE AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,71451,--,94472,72574,106633,123742,107428,--,143876,53824,--,68200,58835,61514,65803,49547,57275,--,59670,--,--,--,108273,122776,171017,162637,--,--
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College: E002 Govt.S K S J T Institute of Engineering, Bangalore AMBEDKAR VEEDHI, K.R. CIRCLE, BANGALORE-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMP,GMR,NRI,OPN,OTH,SCG,SCK,SCR,STG,STK,STR
CIVIL,143668,--,--,169150,185164,--,212002,--,--,113581,--,--,168311,--,185787,89550,98630,--,127979,--,--,--,187210,258392,256218,162948,--,166829
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER,29744.5,--,--,34228,--,34509,31602,--,45824,28243,--,33292,30029,--,34546,26717,27554,--,27888,--,--,--,51678,--,82238,51537,61106,--
SCIENCE AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONICS,48902,--,64274,49475,--,49859,55380,--,--,40004,--,--,42401,51215,--,37502,38021,--,43183,--,--,--,84805,--,97559,100772,--,124589
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
COMMUNICATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N ENGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILK,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,247848,--,--,--,--,--,--,--,--,--,--,--,--
TECHNOLOGY,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
TEXTILES,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,261534,--,--,--,--,--,--,--,--,--,--,--,--
TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Generated on: 11-09-2025 19:02:19,,,,,,,,,,,,,,,Page 1 of 106,,
"College: E003 B M S College of Engineering, Basavanagudi, Bangalore (AUTONOMOUS) POST BOX NO 1908, BULL TEMPLE ROAD,BANGALORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMP,GMR,NRI,OPN,OTH,SCG,SCK,SCR,STG,STK,STR
CIVIL,70511,--,--,49999,--,56129,45467,--,--,35240,--,--,42373,64365,90714,32722.5,43006,--,46090,--,--,--,91450,--,116899,82202,--,108840
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL &,17062,--,--,18590,--,43003,13930,--,25098,11797,--,--,15845,--,--,10575.7,27060,--,23875,--,--,--,53808,70324,58322,45191.5,--,57867
ELECTRONICS,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONICS,4212,--,--,5737,--,11573,12443,20516,--,4082,--,--,5718,--,7954,3114,5426,--,4114,--,--,--,26045,--,46479,32791,--,37313
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMMUNICATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N ENGG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,53563,--,149116,49749,93770,100468,49182.2,--,--,35074,--,37026,41587,--,--,32144,84157,--,67471,--,--,--,119875,--,180554,244802,--,--
ENGINEERING &,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MECHANICAL,35345,--,43804,26891,63226,40161,93102,--,--,19058.5,--,--,19458,--,--,17812,50300,--,27046,--,--,--,78178,158962,178495,54954,--,--
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"College: E004 Dr. Ambedkar Institute of Technology, Bangalore(AUTONOMOUS) OUTER RING ROAD,NEAR JNANA BHARATHI CAMPUS,MALLATHAHALLI,BANGALORE-560056",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMP,GMR,NRI,OPN,OTH,SCG,SCK,SCR,STG,STK,STR
CIVIL,166373,--,--,259944,--,--,164321,--,--,143519,--,--,184704,--,--,119580,135026,--,144168,--,--,--,183482,--,--,169699,--,227695
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTER,21811,--,--,16325,--,17605,21125.5,--,21143,14299,15024,15533,12961,--,--,12452,14625,--,14272,--,--,--,34578,--,40265,34121,--,--
SCIENCE AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRICAL &,52608,82067,112764,55953,--,71127,99907,--,--,53034,--,--,50298,54449,--,42369,49801,--,49854,--,--,--,74006,--,97113,89498,--,130929
ELECTRONICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRONICS,27197,--,28814,29793,31330,32685,31977,--,67770,25532,--,26757,26055,--,26230,21989,29800,--,25839,--,--,--,62762,80011,72502,70737,129339,78369
