,,,,,,ENGINEERING CUTOFF RANK OF CET-2024 - MOCK,,,,,,,,ALLOTMENT ( GENERAL ),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,25-AUG-24 05:02 PM,,,,,
1,E001,University of Visvesvaraya College of Engineering,,,,,,Bangalore ( PUBLIC UNIV. ),,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,9551,--,--,7993,--,8818,8515,--,--,4853,--,--,5660,--,--,4644,8135,6644,22838 35775 37041 24785,,,--,30896,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
AR Architecture,,265,--,--,443,--,--,203,--,--,242,--,--,295,--,--,198,--,488,499,--,--,--,--,--
CE Civil,,69263,--,--,69941 81714 78519 86550,,,--,100108 65915,,--,78376 68579,,--,69405 49408 57853 66814 94329 106707106094 80230 124574123121,,,,,,,,,,
CS Computers,,7386,--,8208,6524,7849,7538,7208,--,11686,3728,--,5378,4177,7918,5387,3427,7474,4993,19513 29186 22460 22864,,,--,23998,
EC Electronics,,10362,--,16634 11077 16068 13037 13625,,,,--,15869,7689,21248,--,8463,--,12676,6692,12990 12296 36387 49110 44436 34812,,,,,,--,37639,
EE Electrical,,28034 43342 29282 28640 29180 33108 38319,,,,,,--,--,23523,--,--,25320,--,26163 18223 27704 24743 61026 68080 69771 56238,,,,,,,,--,66517,
IE Info.Science,,7835,--,--,7733,--,8952,11745 30724,--,5007,--,6357,5187,--,--,4835,9396,5825,29700,--,32052 28060,,--,30720,
ME Mechanical,,62431,--,66058 71359 71843 73419 69452,,,,--,79777 49775,,--,64283 59160 70397 63644 40082 51745 59373 109571123898123592126058132683140686,,,,,,,,,,,,,
2,E002,S K S J T Institute of Engineering.,,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,96044,--,--,97935 109411106577101369,,,--,--,93515,--,--,94237,--,97068 85050 90439 91373 121681135559136195128546,,,,,,,,--,128598,
CS Computers,,17116,--,17847 21359,--,22953 23474,,--,41540 14026,,--,19963 14923 23095,,,--,13819 16632 15551 39362,,,,--,42928 30342,,--,--,
