College Code,College Name,College Type,Location,Branch,Category,Year,Rank,Round,Data Source
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1G",2022,7418,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1G",2023,718,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1G",2024,14250,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1K",2023,87,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1K",2024,22840,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","1R",2024,35100,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AG",2022,6685,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AG",2023,6191,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AG",2024,27800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AK",2024,33450,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AR",2022,10689,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AR",2023,95199,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2AR",2024,42700,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BG",2022,8120,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BG",2023,240,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BG",2024,19670,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BK",2022,38720,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BK",2024,35800,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BR",2023,4810,"FIRST","historical"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","2BR",2024,31200,"FIRST","current"
"68f11529ac0ce5fe833afbca","University of Visvesvaraya College of Engineering (A State Autonomous Public University on IIT Model) K R Circle","Private","Karnataka, India","Artificial Intelligence & Machine Learning (AIML)","3AG",2022,5128,"FIRST","historical"
